Partner,Region,Lon,Lat,2025,2024,2023,2022,2021
Ukraine,Europe & Central Asia,31.069860360933834,48.800561523437494,29492.426252,255.454324,41743.402752,0,0
Australia,East Asia & Pacific,133.07650574087157,-24.93398437500001,29057.599140000002,1594336.6661840002,37197.795148000005,3331891.0121040004,1433394.6302800002
Hong Kong,East Asia & Pacific,114.11595738232025,22.432788085937496,28299.161328000002,13374.235844,3408.3471440000003,12335.775712,12330.756444
Indonesia,East Asia & Pacific,113.35194464550466,0.09565429687499005,25836.0216,7930.707612,3805.39766,21321.586292,4372.574944
Bermuda,North America,-64.7148084412062,32.34482421875,23823.823476,1447.1342160000002,5259.136176,1902.0384000000001,16092.301552
Barbados,Latin America & Caribbean,-59.55058180348941,13.174804687499993,23692.001648,20808.035924,12057.866768000002,72042.34612,33663.702132000006
Yemen,Middle East & North Africa,47.49072790611053,15.858715820312497,21302.83008,0,5320.424080000001,0,0
Haiti,Latin America & Caribbean,-72.25003482060703,18.953515624999994,19437.247416000002,25260.654984,19437.247416000002,7276.881912000001,51463.611492000004
Iceland,Europe & Central Asia,-18.442080246962032,64.97783203125,19203.719368000002,0,780.6282600000001,0,0
Netherlands Antilles,Latin America & Caribbean,-68.9335,12.1091,18826.481752,23200.113384,12464.691648,9444.149000000001,15507.688916000001
Venezuela,Latin America & Caribbean,-65.41256436873411,6.415820312499996,15655.625236000002,22808.610480000003,8081.549824000001,17601.516188,7898.742800000001
French West Indies,Latin America & Caribbean,-61.27,15.46,12820.795504000002,415.54255600000005,0,462.30100000000004,0
Argentina,Latin America & Caribbean,-63.97132718629783,-37.085644531250004,12404.988776,3746.487304,3809.3602400000004,9937.886468,5498.476008000001
Libya,Middle East & North Africa,17.284228515625017,26.385986328125,12019.826000000001,0,0,1428.9063480000002,0
Leeward-Windward Islands,Latin America & Caribbean,-61,15.3,9268.210448,14540.026880000001,10299.802108,21135.080860000002,11324.261124
Trinidad and Tobago,Latin America & Caribbean,-61.252538321878376,10.434326171874993,8712.920904,2389.171568,8735.639696,109342.640004,25331.188908
Qatar,Middle East & North Africa,51.15072213067323,25.337109374999997,7381.4940240000005,0,15528.822676000002,42003.612172,27519.589756
French Pacific Islands,East Asia & Pacific,-149.5667,-17.5333,5138.4095720000005,670.99688,91.66768400000001,0,0
Nicaragua,Latin America & Caribbean,-85.54351112622894,12.83056640625,4809.515432,46180.171492,4817.176420000001,18555.441280000003,1151.7899200000002
Cayman Islands,Latin America & Caribbean,-81.26225721485974,19.317333984374997,4714.677684,4317.89134,2444.91186,3509.789192,3660.631404
Bahrain,Middle East & North Africa,50.54902818100871,26.030395507812496,4645.992964,59655.849384,33297.295568,8846.591936,28649.189228000003
Suriname,Latin America & Caribbean,-56.13794707848538,3.9515136718749986,4446.8072760000005,8860.064708,535.4766440000001,0,912.9784320000001
Guyana,Latin America & Caribbean,-58.960665858982765,4.850512695312496,3262.260028,2387.850708,4079.8723680000003,3539.9048000000003,1663.491084
El Salvador,Latin America & Caribbean,-88.91242277961766,13.7978515625,3200.707952,232.47136,2373.849592,0,220.84779200000003
Guatemala,Latin America & Caribbean,-90.28192328813358,15.785351562499997,2747.124628,7304.619972,28936.608364000003,49281.550772,6042.141984000001
Kenya,Sub-Saharan Africa,37.53487283666992,0.44379882812499716,1693.078348,1233.4190680000002,3444987.2720560003,2800435.5942880004,1388829.342224
South Africa,Sub-Saharan Africa,26.09462057501269,-28.470214843750007,1685.4173600000001,1721.3447520000002,0,55.47612,6403.529280000001
Mauritius,Sub-Saharan Africa,57.58030737932323,-20.277783203125004,1676.6996840000002,0,63.40128000000001,0,0
Uruguay,Latin America & Caribbean,-55.80659352873214,-32.534863281250004,1056.688,1620.69522,0,1832.296992,0
New Zealand,East Asia & Pacific,176.61015208020189,-38.00805664062501,1023.1381560000001,0,360.066436,15788.503752,2208.213748
"Bahamas, The",Latin America & Caribbean,-78.37623118676187,26.648266601562497,936.753912,5237.738244,5989.307584,73837.923204,28699.381908000003
Paraguay,Latin America & Caribbean,-58.481173675024145,-23.436572265625003,220.84779200000003,0,0,0,2359.05596
Bangladesh,South Asia,89.8681948123376,23.680688476562494,0,878.3719000000001,0,0,0
Belize,Latin America & Caribbean,-88.737346800695,17.1384033203125,0,0,1873552.997412,0,5563.726492000001
Bolivia,Latin America & Caribbean,-64.06577719783438,-16.301953125000004,0,0,1462.1920200000002,0,6525.312572000001
Burma,East Asia & Pacific,95.91990094127462,19.2796630859375,0,0,1249.53356,0,0
Ecuador,Latin America & Caribbean,-78.28298139366476,-1.7755371093750085,0,2258.4064280000002,393.087936,1044.2719160000001,14040.477628
Equatorial Guinea,Sub-Saharan Africa,10.502327989465396,1.6788818359374957,0,0,0,0,2067.410072
Honduras,Latin America & Caribbean,-87.2443025056451,14.492944335937501,0,0,12849.590252,3045.638988,999.3626760000001
Jordan,Middle East & North Africa,36.300387581109405,31.277685546874995,0,13459.563400000001,18771.533976000002,30824.645648,16864.74048
Lebanon,Middle East & North Africa,35.921264193802415,33.867431640625,0,0,0,40200.109928000005,0
Mali,Sub-Saharan Africa,-0.7552316256587424,17.568872070312494,0,1845.7697640000001,0,0,0
Morocco,Middle East & North Africa,-9.915022193678453,28.655078124999996,0,3895.7444840000003,0,0,0
Oman,Middle East & North Africa,56.99241871640824,20.855615234375,0,27856273.535764,7754867.860328001,11796842.113208001,42916.326432
Marshall Islands,East Asia & Pacific,171.65361014395336,7.0131591796874915,0,899999.6616400001,0,0,0
Russia,Europe & Central Asia,88.38590037891798,59.46494140625,0,0,0,0,1593.221332
Senegal,Sub-Saharan Africa,-14.659730638823778,14.527099609374993,0,0,0,0,190.20384
Turks and Caicos Islands,Latin America & Caribbean,-71.74554786286362,21.812036132812494,0,0,0,0,978.228916
Tanzania,Sub-Saharan Africa,34.23626254800196,-6.36284179687501,0,0,7322.84784,0,0
Samoa,East Asia & Pacific,-172.45216587611608,-13.611767578125004,0,0,0,235.11308000000002,2472.6499200000003
